edge_idx,source,source_role,relationship,edge_rank,target,target_role,year,url
1296,Steven Greer,author,collaborated_with,1,Michael Herrera,whistleblower,0,
1094,George Knapp,author,collaborated_with,1,NIDSci,civ org,1999,
1114,Helene Cooper,author,collaborated_with,1,Ralph Blumenthal,author,0,
1202,Leslie Kean,author,collaborated_with,1,Ralph Blumenthal,author,0,
1095,George Knapp,author,collaborated_with,1,Robert Bigelow,entrepreneur,1999,
1097,George Knapp,author,collaborated_with,1,Robert Bigelow,entrepreneur,0,The UFO Reporter Part 2: The Files of George Knapp | NewsNation Prime
1120,Jacques Valle,author,collaborated_with,1,Robert Bigelow,entrepreneur,0,
1063,Diana Pasulka,author,collaborated_with,1,Tim Gallaudet,military,0,
1121,Jacques Valle,author,collaborated_with,3,Uri Geller,tbd,0,
1016,BAASS,civ org,collaborated_with,1,AAWSAP,government,,
1273,Sol Foundation,civ org,collaborated_with,1,Avi Loeb,scientist,2023,
1274,Sol Foundation,civ org,collaborated_with,1,Beatriz Villaroel,scientist,2023,
1275,Sol Foundation,civ org,collaborated_with,1,Chaz King,military,2023,
1276,Sol Foundation,civ org,collaborated_with,1,Christopher Mellon,whistleblower,2023,
1277,Sol Foundation,civ org,collaborated_with,1,David Grusch,military,2023,
1278,Sol Foundation,civ org,collaborated_with,1,Diana Pasulka,author,2023,
1279,Sol Foundation,civ org,collaborated_with,1,Garry Nolan,scientist,2023,
1280,Sol Foundation,civ org,collaborated_with,1,Hal Puthof,scientist,2023,
1281,Sol Foundation,civ org,collaborated_with,1,Jeffrey Kripal,author,2023,
1282,Sol Foundation,civ org,collaborated_with,1,Jeffrey Nuccetelli,military,2023,
1283,Sol Foundation,civ org,collaborated_with,1,Karl Nell,military,2023,
1284,Sol Foundation,civ org,collaborated_with,1,Leslie Kean,author,2023,
1285,Sol Foundation,civ org,collaborated_with,1,Tim Gallaudet,military,2023,
1237,Robert Bigelow,entrepreneur,collaborated_with,1,AATIP,government,0,
1238,Robert Bigelow,entrepreneur,collaborated_with,1,BAASS,civ org,0,
1236,Robert Bigelow,entrepreneur,collaborated_with,1,Harry Reid,government,2007,
